时间,电压,周期,温箱数据
11:24:26,25.000,2,080
11:24:28,25.000,2,080
11:24:30,25.000,2,078
11:24:32,25.000,2,079
11:24:34,25.000,2,080
11:24:36,25.000,2,080
11:24:38,25.000,2,080
11:24:40,25.000,2,080
11:24:42,25.000,2,080
11:24:44,25.000,2,080
11:24:46,25.000,2,080
11:24:48,25.000,2,079
11:24:50,25.000,2,080
11:24:52,25.000,2,080
11:24:54,25.000,2,080
11:24:56,25.000,2,079
11:24:58,25.000,2,080
11:25:00,25.000,2,079
11:25:02,25.000,2,080
11:25:04,25.000,2,080
11:25:06,25.000,2,080
11:25:08,25.000,2,080
11:25:10,25.000,2,079
11:25:12,25.000,2,080
11:25:14,25.000,2,079
11:25:16,25.000,2,078
11:25:18,25.000,2,080
11:25:20,25.000,2,079
11:25:22,25.000,2,079
11:25:24,25.000,2,079
11:25:26,25.000,2,080
11:25:28,25.000,2,079
11:25:30,25.000,2,080
11:25:32,25.000,2,080
11:25:34,35.000,2,080
11:25:36,35.000,2,080
11:25:38,35.000,2,080
11:25:40,35.000,2,079
11:25:42,35.000,2,078
11:25:44,25.000,2,080
11:25:46,25.000,2,079
11:25:48,25.000,2,080
11:25:50,25.000,2,081
11:25:52,25.000,2,078
11:25:54,35.000,2,080
11:25:56,35.000,2,080
11:25:58,35.000,2,080
11:26:00,35.000,2,079
11:26:02,35.000,2,079
11:26:04,25.000,2,080
11:26:06,25.000,2,079
11:26:08,25.000,2,079
11:26:10,25.000,2,079
11:26:12,25.000,2,079
11:26:14,35.000,2,080
11:26:16,35.000,2,080
11:26:18,35.000,2,078
11:26:20,35.000,2,079
11:26:22,35.000,2,079
11:26:24,25.000,2,079
11:26:26,25.000,2,081
11:26:28,25.000,2,080
11:26:30,25.000,2,080
11:26:32,25.000,2,080
11:26:34,35.000,2,080
11:26:36,35.000,2,080
11:26:38,35.000,2,080
11:26:40,35.000,2,080
11:26:43,35.000,2,079
11:26:45,35.000,2,081
11:26:47,35.000,2,079
11:26:49,35.000,2,080
11:26:51,35.000,2,080
11:26:53,35.000,2,079
11:26:55,25.000,2,080
11:26:57,25.000,2,079
11:26:59,25.000,2,080
11:27:01,25.000,2,080
11:27:03,25.000,2,080
11:27:05,25.000,2,079
11:27:07,25.000,2,077
11:27:09,25.000,2,079
11:27:11,25.000,2,079
11:27:13,25.000,2,080
11:27:15,35.000,2,080
11:27:17,35.000,2,079
11:27:19,35.000,2,080
11:27:21,35.000,2,080
11:27:23,35.000,2,079
11:27:25,35.000,2,079
11:27:27,35.000,2,080
11:27:29,35.000,2,080
11:27:31,35.000,2,078
11:27:33,35.000,2,080
11:27:35,25.000,2,080
11:27:37,25.000,2,080
11:27:39,25.000,2,081
11:27:41,25.000,2,080
11:27:43,25.000,2,080
11:27:45,25.000,2,080
11:27:47,25.000,2,079
11:27:49,25.000,2,080
11:27:51,25.000,2,077
11:27:53,25.000,2,081
11:27:55,25.000,2,080
11:27:57,25.000,2,080
11:27:59,25.000,2,079
11:28:01,25.000,2,080
11:28:03,25.000,2,080
11:28:05,35.000,2,080
11:28:07,35.000,2,080
11:28:09,35.000,2,079
11:28:11,35.000,2,081
11:28:13,35.000,2,079
11:28:15,25.000,2,080
11:28:17,25.000,2,080
11:28:19,25.000,2,080
11:28:21,25.000,2,079
11:28:23,25.000,2,080
11:28:25,25.000,2,079
11:28:27,25.000,2,079
11:28:29,25.000,2,080
11:28:31,25.000,2,080
11:28:33,25.000,2,080
11:28:35,25.000,2,080
11:28:37,25.000,2,079
11:28:39,25.000,2,080
11:28:41,25.000,2,081
11:28:43,25.000,2,079
11:28:45,35.000,2,080
11:28:47,35.000,2,079
